date,XU100
20.06.2007,46251.18
21.06.2007,45952.39
22.06.2007,45705.1
25.06.2007,45417.05
26.06.2007,46010.13
27.06.2007,45161.75
28.06.2007,46181.38
29.06.2007,47093.67
02.07.2007,47730.53
03.07.2007,48680.3
04.07.2007,49476.29
05.07.2007,49850.05
06.07.2007,49895.33
09.07.2007,51281.85
10.07.2007,50557.62
11.07.2007,50055.54
12.07.2007,52005.8
13.07.2007,52086.68
16.07.2007,51774.43
17.07.2007,51643.83
18.07.2007,51111.99
19.07.2007,53325.29
20.07.2007,52935.75
23.07.2007,55625.44
24.07.2007,54930.74
25.07.2007,54831.94
26.07.2007,52512.38
27.07.2007,51561.91
30.07.2007,51459.22
31.07.2007,52824.89
01.08.2007,51299.3
02.08.2007,51393.57
03.08.2007,50716.44
06.08.2007,50429.89
07.08.2007,50708.22
08.08.2007,52070.55
09.08.2007,49974.83
10.08.2007,49186.43
13.08.2007,50272.52
14.08.2007,49880.9
15.08.2007,47714.12
16.08.2007,44473.3
17.08.2007,46576.86
20.08.2007,46148.81
21.08.2007,45264.96
22.08.2007,46881.96
23.08.2007,47388.6
24.08.2007,46823.97
27.08.2007,47914.42
28.08.2007,47750.68
29.08.2007,48082.17
30.08.2007,0
31.08.2007,50198.6
03.09.2007,49936.94
04.09.2007,50032.59
05.09.2007,49421.38
06.09.2007,49601.39
07.09.2007,49050.42
10.09.2007,48548.93
11.09.2007,49296.18
12.09.2007,49233.05
13.09.2007,49680.51
14.09.2007,50620.91
17.09.2007,50536.54
18.09.2007,50500.93
19.09.2007,53884.08
20.09.2007,53543.06
21.09.2007,53882.14
24.09.2007,53580.7
25.09.2007,52893.17
26.09.2007,54245.83
27.09.2007,54390.2
28.09.2007,54044.22
01.10.2007,54198.04
02.10.2007,54733.3
03.10.2007,54164.9
04.10.2007,54915.9
05.10.2007,56792.97
08.10.2007,56279.09
09.10.2007,57910.57
10.10.2007,57418.04
11.10.2007,58053.4
12.10.2007,0
15.10.2007,58231.9
16.10.2007,57185.37
17.10.2007,57931.92
18.10.2007,56268.18
19.10.2007,55486.84
22.10.2007,53969.78
23.10.2007,55752.22
24.10.2007,55638.88
25.10.2007,55728.6
26.10.2007,56446.59
29.10.2007,0
30.10.2007,56774.27
31.10.2007,57615.72
01.11.2007,57371.31
02.11.2007,56855.06
05.11.2007,56064.31
06.11.2007,56905.99
07.11.2007,56076.44
08.11.2007,55160.75
09.11.2007,53689.08
12.11.2007,54084.03
13.11.2007,54719.01
14.11.2007,55664.9
15.11.2007,54743.01
16.11.2007,54304.47
19.11.2007,53262.9
20.11.2007,53577.76
21.11.2007,52615.59
22.11.2007,52199.33
23.11.2007,52331.29
26.11.2007,52682.48
27.11.2007,51452.32
28.11.2007,0
29.11.2007,53181.19
30.11.2007,54213.82
03.12.2007,54320.04
04.12.2007,54013.3
05.12.2007,55521.18
06.12.2007,56186.89
07.12.2007,56490.57
10.12.2007,56518.62
11.12.2007,56271.27
12.12.2007,56766.22
13.12.2007,55239
14.12.2007,54911.71
17.12.2007,53603.43
18.12.2007,54223.58
19.12.2007,53847.36
20.12.2007,0
21.12.2007,0
24.12.2007,55510.46
25.12.2007,55380.65
26.12.2007,55373.17
27.12.2007,55233
28.12.2007,55698.42
31.12.2007,55538.13
01.01.2008,0
02.01.2008,54708.42
03.01.2008,53541.27
04.01.2008,52529.88
07.01.2008,52569.54
08.01.2008,53235.93
09.01.2008,52730.72
10.01.2008,52351.01
11.01.2008,51920.59
14.01.2008,51480.89
15.01.2008,50377.34
16.01.2008,49093.83
17.01.2008,48902.75
18.01.2008,48657.46
21.01.2008,45544.08
22.01.2008,44593.71
23.01.2008,42539.49
24.01.2008,45010.73
25.01.2008,45497.24
28.01.2008,43706.68
29.01.2008,44572.7
30.01.2008,44304.44
31.01.2008,42697.56
01.02.2008,44452.08
04.02.2008,45719.91
05.02.2008,44350.78
06.02.2008,43317.49
07.02.2008,41866.42
08.02.2008,41957.86
11.02.2008,41342.84
12.02.2008,43539.85
13.02.2008,44752.46
14.02.2008,45493.66
15.02.2008,44305.27
18.02.2008,45741.67
19.02.2008,46249.27
20.02.2008,45876.74
21.02.2008,46446.64
22.02.2008,45592.48
25.02.2008,44894.96
26.02.2008,45524.52
27.02.2008,46260.3
28.02.2008,45823.3
29.02.2008,44776.88
03.03.2008,43343.59
04.03.2008,42923.03
05.03.2008,43468.03
06.03.2008,42523.85
07.03.2008,41537.22
10.03.2008,41534.89
11.03.2008,43318.03
12.03.2008,44248.15
13.03.2008,42421.93
14.03.2008,42585.91
17.03.2008,39409.41
18.03.2008,40720.27
19.03.2008,40907
20.03.2008,39847.79
21.03.2008,39719.08
24.03.2008,41143.6
25.03.2008,40992.42
26.03.2008,40658.47
27.03.2008,40634.89
28.03.2008,39501.17
31.03.2008,39015.44
